FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations,Runway Identifier,Surface Type,Runway Length, Runway Width
01591.*A,FAT,FRESNO YOSEMITE INTL,FRESNO,CA,AWP,SFO,PU,36-46-35.6000N,119-43-07.8000W,PU,I B S 05/1973,Primary,Small,Y,100  A,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,115,125752	,11L/29R	,ASPH-G,9539,150 
01591.*A,FAT,FRESNO YOSEMITE INTL,FRESNO,CA,AWP,SFO,PU,36-46-35.6000N,119-43-07.8000W,PU,I B S 05/1973,Primary,Small,Y,100  A,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,115,125752	,11R/29L	,ASPH-G,8008,150 
01593.*A,FUL,FULLERTON MUNI,FULLERTON,CA,AWP,LAX,PU,33-52-19.2510N,117-58-47.2230W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL  SALES,243,54384	,06/24	,ASPH-G,3121,75 
01344.2*A,4CA2,FUNNY FARM,BRENTWOOD,CA,AWP,SFO,PR,37-56-48.7200N,121-38-50.8300W,PR,,NON-NPIAS,,N,,,5,600	,17/35	,ASPH,1880,20 
01494.61*A,L06,FURNACE CREEK,DEATH VALLEY NATIONAL PARK,CA,AWP,LAX,PU,36-27-37.8000N,116-52-47.3000W,PU,,NON-NPIAS,,N,,,3,10500	,15/33	,ASPH-G,3065,70 
02303.66*H,1CA3,G S A LAGUNA NIGUEL G/L HELISTOP,SOUTH LAGUNA BEACH,CA,AWP,LAX,PR,33-33-42.0890N,117-42-56.1880W,PU,,NON-NPIAS,,N,,,0,0	,H1	,TURF,110,55 
01375.*A,63CL,G3 RANCH,CAPAY,CA,AWP,SFO,PR,38-42-59.6520N,122-08-18.9040W,PR,,NON-NPIAS,,N,,,0,0	,NW/SE	,TURF,2800,110 
02074.*A,2O1,GANSNER FIELD,QUINCY,CA,AWP,SFO,PU,39-56-38.1000N,120-56-43.4000W,PU,,General Aviation,,N,100LL,,28,9200	,07/25	,ASPH-G,4105,60 
01599.1*A,O16,GARBERVILLE,GARBERVILLE,CA,AWP,SFO,PU,40-05-08.5000N,123-48-51.3000W,PU,,General Aviation,,N,100LL,,18,16500	,18/36	,ASPH-F,3050,75 
02027.7*A,5CL7,GENE WASH RESERVOIR,PARKER DAM,CA,AWP,LAX,PR,34-18-31.4300N,114-11-20.0200W,PR,,NON-NPIAS,,N,,,2,0	,11/29	,ASPH,2200,30 
01754.2*A,WJF,GENERAL WM J FOX AIRFIELD,LANCASTER,CA,AWP,LAX,PU,34-44-27.8000N,118-13-07.1000W,PU,,General Aviation,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,152,81851	,06/24	,ASPH-G,7201,150 
01608.7*A,E36,GEORGETOWN,GEORGETOWN,CA,AWP,SFO,PU,38-55-15.5000N,120-51-53.4000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL,34,22500	,16/34	,ASPH-G,2980,60 
02165.*A,SEE,GILLESPIE FIELD,SAN DIEGO/EL CAJON,CA,AWP,LAX,PU,32-49-34.4000N,116-58-20.8000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,717,199704	,09L/27R	,ASPH-G,5342,100 
02165.*A,SEE,GILLESPIE FIELD,SAN DIEGO/EL CAJON,CA,AWP,LAX,PU,32-49-34.4000N,116-58-20.8000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,717,199704	,09R/27L	,ASPH-G,2738,60 
02165.*A,SEE,GILLESPIE FIELD,SAN DIEGO/EL CAJON,CA,AWP,LAX,PU,32-49-34.4000N,116-58-20.8000W,PU,,Reliever,,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,717,199704	,17/35	,ASPH-G,4145,100 
01967.*A,DVO,GNOSS FIELD,NOVATO,CA,AWP,SFO,PU,38-08-37.0000N,122-33-21.9600W,PU,,Reliever,,N,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,187,98000	,13/31	,ASPH-G,3300,75 
01299.87*A,00CA,GOLDSTONE /GTS/,BARSTOW,CA,AWP,LAX,PR,35-21-01.8920N,116-53-18.1290W,PU,,NON-NPIAS,,N,,,0,0	,04/22	,ASPH,6000,80 
01379.*A,64CL,GOODYEAR BLIMP BASE,CARSON,CA,AWP,LAX,PR,33-51-18.0000N,118-16-34.2000W,PR,,NON-NPIAS,,N,100,,1,0	,NW/SE	,TURF,1200,900 
02387.*A,1Q5,GRAVELLY VALLEY,UPPER LAKE,CA,AWP,SFO,PU,39-27-02.6000N,122-57-16.6000W,PU,,NON-NPIAS,,N,,,0,1000	,01/19	,GRAVEL-G,4050,200 
02005.2*A,04CA,GRAY BUTTE FIELD,PALMDALE,CA,AWP,LAX,PR,34-33-59.8400N,117-40-13.3800W,PR,,NON-NPIAS,,N,,,0,0	,08/26	,ASPH,8000,150 
02258.1*A,CA39,GRAYWOOD RANCH,SANTA ROSA,CA,AWP,SFO,PR,38-26-04.6790N,122-33-48.9370W,PR,,NON-NPIAS,,N,,,1,0	,E/W	,DIRT,2500,70 
02258.1*A,CA39,GRAYWOOD RANCH,SANTA ROSA,CA,AWP,SFO,PR,38-26-04.6790N,122-33-48.9370W,PR,,NON-NPIAS,,N,,,1,0	,N/S	,DIRT,1500,80 
01865.9*A,5CL0,GRUPE RANCH,MARIPOSA,CA,AWP,SFO,PR,37-20-25.7900N,119-51-43.5800W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,ASPH,2800,50 
01498.3*A,71CL,GUNNERSFIELD RANCH,DELEVAN,CA,AWP,SFO,PR,39-21-09.5910N,122-05-37.9160W,PR,,NON-NPIAS,,N,,,1,0	,16/34	,ASPH,2570,40 
01636.*A,3O1,GUSTINE,GUSTINE,CA,AWP,SFO,PU,37-15-38.0000N,120-57-51.3000W,PU,,General Aviation,,N,100LL,AGRI,17,8000	,18/36	,ASPH-G,3207,60 
01402.1*H,CL87,HADDICKS,CITY OF INDUSTRY,CA,AWP,LAX,PR,34-01-41.0390N,117-57-54.2330W,PR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,107,105 
01995.8*A,O37,HAIGH FIELD,ORLAND,CA,AWP,SFO,PU,39-43-13.4000N,122-08-46.9000W,PU,,General Aviation,,N,100LL,,45,20000	,15/33	,ASPH-G,4500,60 
01638.*A,HAF,HALF MOON BAY,HALF MOON BAY,CA,AWP,SFO,PU,37-30-48.4000N,122-30-04.2000W,PU,,Reliever,,N,100LL,,32,50150	,12/30	,ASPH-CONC-G,5000,150 
01641.*A,HJO,HANFORD MUNI,HANFORD,CA,AWP,SFO,PU,36-19-00.2000N,119-37-39.6000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  SALES,36,28700	,14/32	,ASPH-G,5179,75 
01216.1*A,11CL,HANSEN,ADELANTO,CA,AWP,LAX,PR,34-37-47.9640N,117-39-12.2070W,PR,,NON-NPIAS,,N,100LL,,2,600	,07/25	,DIRT,5875,80 
01645.*A,36S,HAPPY CAMP,HAPPY CAMP,CA,AWP,SFO,PU,41-47-26.4460N,123-23-20.2000W,PU,,General Aviation,,N,,,0,250	,04/22	,ASPH-F,3000,50 
02315.41*A,6CL8,HARLEY,STOCKTON,CA,AWP,SFO,PR,37-57-03.0000N,121-14-36.0000W,PR,,NON-NPIAS,,N,,,1,0	,09/27	,GRVL,1700,30 
01419.12*A,3O8,HARRIS RANCH,COALINGA,CA,AWP,SFO,PU,36-14-53.2000N,120-14-18.5000W,PR,,NON-NPIAS,,N,100LL,,0,10000	,14/32	,ASPH-G,2820,30 
02190.2*A,9CA7,HARRIS RIVER RANCH,SANGER,CA,AWP,SFO,PR,36-46-18.7000N,119-26-42.5800W,PR,,NON-NPIAS,,N,,,1,0	,07/25	,ASPH,3018,28 
01699.*A,9CL4,HART MINE,IVANPAH,CA,AWP,LAX,PR,35-16-59.9640N,115-11-32.9430W,PR,,NON-NPIAS,,N,,,0,0	,E/W	,DIRT,3000,120 
01699.*A,9CL4,HART MINE,IVANPAH,CA,AWP,LAX,PR,35-16-59.9640N,115-11-32.9430W,PR,,NON-NPIAS,,N,,,0,0	,N/S	,DIRT,3000,120 
02244.*A,5CL1,HART RANCH,SANTA MARGARITA,CA,AWP,SFO,PR,35-24-17.0000N,120-31-30.0000W,PR,,NON-NPIAS,,N,,,1,0	,07/25	,GRVL,1800,24 
02490.1*A,CN23,HARVARD,YERMO,CA,AWP,LAX,PR,34-57-41.9430N,116-40-31.1100W,PR,,NON-NPIAS,,N,,,1,632	,07/25	,DIRT,2640,100 
01650.01*A,F62,HAYFORK,HAYFORK,CA,AWP,SFO,PU,40-32-49.2000N,123-10-46.7000W,PU,,General Aviation,,N,,INSTR,5,12500	,07/25	,ASPH-F,4100,60 
01651.*A,HWD,HAYWARD EXECUTIVE,HAYWARD,CA,AWP,SFO,PU,37-39-32.1000N,122-07-18.3000W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL,361,103724	,10L/28R	,ASPH-G,3107,75 
01651.*A,HWD,HAYWARD EXECUTIVE,HAYWARD,CA,AWP,SFO,PU,37-39-32.1000N,122-07-18.3000W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL,361,103724	,10R/28L	,ASPH-F,5694,150 
01651.*A,HWD,HAYWARD EXECUTIVE,HAYWARD,CA,AWP,SFO,PU,37-39-32.1000N,122-07-18.3000W,PU,,Reliever,,Y,100LLA,CHTR  INSTR  RNTL,361,103724	,H1	,ASPH-F,110,110 
01651.7*A,HES,HEALDSBURG MUNI,HEALDSBURG,CA,AWP,SFO,PU,38-39-10.2930N,122-53-55.1095W,PU,,General Aviation,,N,100,,49,20400	,13/31	,ASPH-G,2652,60 
02498.*A,45CL,HELL'ER HIGH WATER,ZENIA,CA,AWP,SFO,PR,40-08-35.5330N,123-23-54.0840W,PR,,NON-NPIAS,,N,,,1,1000	,18/36	,DIRT-F,2600,50 
01654.*A,HMT,HEMET-RYAN,HEMET,CA,AWP,LAX,PU,33-44-02.3700N,117-01-21.1600W,PU,,General Aviation,,N,100LLA,CHTR  GLD  INSTR  RNTL  SALES  TOW,61,75444	,04/22	,ASPH-G,2045,25 
01654.*A,HMT,HEMET-RYAN,HEMET,CA,AWP,LAX,PU,33-44-02.3700N,117-01-21.1600W,PU,,General Aviation,,N,100LLA,CHTR  GLD  INSTR  RNTL  SALES  TOW,61,75444	,05/23	,ASPH-G,4314,100 
01661.*A,H37,HERLONG,HERLONG,CA,AWP,SFO,PU,40-08-19.4000N,120-10-47.9000W,PU,,NON-NPIAS,,N,,,0,700	,06/24	,ASPH-P,3260,40 
01635.6*A,45CN,HERMITAGE,GROVELAND,CA,AWP,SFO,PR,37-52-48.7340N,120-11-36.6770W,PR,,NON-NPIAS,,N,,,0,0	,09/27	,DIRT-TURF,2700,60 
01662.*A,L26,HESPERIA,HESPERIA,CA,AWP,LAX,PU,34-22-37.0000N,117-18-57.8000W,PR,,NON-NPIAS,,N,100LL,AMB,31,6000	,03/21	,ASPH-F,3910,50 
02266.*A,0CA5,HOFFMAN PVT,SANTA YSABEL,CA,AWP,LAX,PR,33-08-35.1510N,116-44-43.0780W,PR,,NON-NPIAS,,N,,,1,0	,11/29	,ASPH,1400,30 
01248.11*A,27CA,HOLIDAY RANCH,APPLE VALLEY,CA,AWP,LAX,PR,34-33-39.9830N,117-04-50.1420W,PR,,NON-NPIAS,,N,,,5,0	,07/25	,DIRT,2600,80 
01248.11*A,27CA,HOLIDAY RANCH,APPLE VALLEY,CA,AWP,LAX,PR,34-33-39.9830N,117-04-50.1420W,PR,,NON-NPIAS,,N,,,5,0	,16/34	,DIRT,2900,80 
01668.*A,CVH,HOLLISTER MUNI,HOLLISTER,CA,AWP,SFO,PU,36-53-36.0430N,121-24-36.9740W,PU,,General Aviation,,N,100LLA,GLD  INSTR  PAJA  RNTL  SALES,111,52600	,06/24	,ASPH-G,3150,100 
01668.*A,CVH,HOLLISTER MUNI,HOLLISTER,CA,AWP,SFO,PU,36-53-36.0430N,121-24-36.9740W,PU,,General Aviation,,N,100LLA,GLD  INSTR  PAJA  RNTL  SALES,111,52600	,13/31	,ASPH-G,6350,100 
02110.3*A,CA16,HOLTSMANS,RIO LINDA,CA,AWP,SFO,PR,38-43-44.6460N,121-23-21.8290W,PR,,NON-NPIAS,,N,,,0,0	,N/S	,TURF,2500,200 
01671.*A,L04,HOLTVILLE,HOLTVILLE,CA,AWP,LAX,PU,32-50-41.8000N,115-16-06.6000W,PU,,NON-NPIAS,,N,,,0,0	,08/26	,CONC-L,6000,150 
01674.*A,O21,HOOPA,HOOPA,CA,AWP,SFO,PU,41-02-29.3000N,123-40-04.1000W,PU,,General Aviation,,N,,,1,550	,14/32	,ASPH-G,2325,50 
01518.5*A,CA71,HORSE SHOE A RANCH,DRYTOWN,CA,AWP,SFO,PR,38-26-24.0000N,120-53-13.0000W,PR,,NON-NPIAS,,N,,,0,0	,14/32	,DIRT,3000,50 
01696.01*A,5CA8,HOWARD /PRIVATE/,IONE,CA,AWP,SFO,PR,38-15-22.7000N,120-55-53.7840W,PR,,NON-NPIAS,,N,,,1,0	,07/25	,DIRT,1481,40 
01817.47*H,CL71,HUGHES/CORPORATE,LOS ANGELES,CA,AWP,LAX,PR,33-57-58.0430N,118-25-27.2770W,PR,,NON-NPIAS,,N,,,0,0	,H1	,CONC,120,60 
01855.7*H,CA50,HUGHES/MALIBU,MALIBU,CA,AWP,LAX,PR,34-02-40.0260N,118-41-38.3100W,PR,,NON-NPIAS,,N,,,0,0	,H1	,ASPH,150,140 
01886.1*A,15CL,HUNT FARMS,MERCED,CA,AWP,SFO,PR,37-20-33.7850N,120-24-12.6750W,PR,,NON-NPIAS,,N,,,0,0	,16/34	,DIRT,2300,50 
01706.*A,04CL,HUNT'S SKY RANCH,JULIAN,CA,AWP,LAX,PR,33-04-54.1590N,116-26-29.0560W,PR,,NON-NPIAS,,N,,,2,0	,08/26	,GRVL-DIRT,1900,100 
01678.*A,H47,HYAMPOM,HYAMPOM,CA,AWP,SFO,PU,40-37-32.2000N,123-28-06.6000W,PU,,NON-NPIAS,,N,,,1,2000	,14/32	,ASPH-F,2980,60 
01683.5*A,NRS,IMPERIAL BEACH NOLF (REAM FLD),IMPERIAL BEACH,CA,AWP,LAX,PR,32-33-58.1638N,117-06-48.6837W,MN,,NON-NPIAS,,Y,,,0,0	,08/26	,CONC,2240,151 
01683.5*A,NRS,IMPERIAL BEACH NOLF (REAM FLD),IMPERIAL BEACH,CA,AWP,LAX,PR,32-33-58.1638N,117-06-48.6837W,MN,,NON-NPIAS,,Y,,,0,0	,09/27	,PEM,4997,336 
01683.*A,IPL,IMPERIAL COUNTY,IMPERIAL,CA,AWP,LAX,PU,32-50-03.2000N,115-34-43.5000W,PU,III A S 12/2005,Commercial Service,,N,100LLA,AFRT  AGRI  AMB  CHTR,39,15120	,08/26	,ASPH-G,4501,75 
01683.*A,IPL,IMPERIAL COUNTY,IMPERIAL,CA,AWP,LAX,PU,32-50-03.2000N,115-34-43.5000W,PU,III A S 12/2005,Commercial Service,,N,100LLA,AFRT  AGRI  AMB  CHTR,39,15120	,14/32	,ASPH-G,5308,100 
01686.*A,2O7,INDEPENDENCE,INDEPENDENCE,CA,AWP,LAX,PU,36-48-58.9406N,118-12-17.7572W,PU,,General Aviation,,N,,,2,3000	,05/23	,DIRT-F,1498,30 
01686.*A,2O7,INDEPENDENCE,INDEPENDENCE,CA,AWP,LAX,PU,36-48-58.9406N,118-12-17.7572W,PU,,General Aviation,,N,,,2,3000	,14/32	,ASPH-G,3533,60 
01695.*A,IYK,INYOKERN,INYOKERN,CA,AWP,LAX,PU,35-39-31.4686N,117-49-46.3170W,PU,III A S 08/2005,Commercial Service,,N,100LLA,AFRT  GLD  INSTR  TOW,108,28573	,02/20	,ASPH-G,6275,75 
01695.*A,IYK,INYOKERN,INYOKERN,CA,AWP,LAX,PU,35-39-31.4686N,117-49-46.3170W,PU,III A S 08/2005,Commercial Service,,N,100LLA,AFRT  GLD  INSTR  TOW,108,28573	,10/28	,ASPH-G,4150,75 
01695.*A,IYK,INYOKERN,INYOKERN,CA,AWP,LAX,PU,35-39-31.4686N,117-49-46.3170W,PU,III A S 08/2005,Commercial Service,,N,100LLA,AFRT  GLD  INSTR  TOW,108,28573	,15/33	,ASPH-G,7100,75 
01507.02*A,72CL,IRON MOUNTAIN PUMPING PLANT,DESERT CENTER,CA,AWP,LAX,PR,34-08-03.0410N,115-07-08.9180W,PR,,NON-NPIAS,,N,,,0,0	,17/35	,ASPH,3200,30 
01569.4*A,CN29,J-B,FARMINGTON,CA,AWP,SFO,PR,37-56-06.7290N,121-00-55.7800W,PR,,NON-NPIAS,,N,,,1,0	,N/S	,TURF,1700,40 
01464.*A,CEC,JACK MC NAMARA FIELD,CRESCENT CITY,CA,AWP,SFO,PU,41-46-48.6000N,124-14-11.5000W,PU,III A U 05/1985,Primary,Non-Hub,N,100LLA,AFRT  AMB  CHTR  INSTR  RNTL  SALES  SURV,26,12565	,11/29	,ASPH-G,5000,150 
01464.*A,CEC,JACK MC NAMARA FIELD,CRESCENT CITY,CA,AWP,SFO,PU,41-46-48.6000N,124-14-11.5000W,PU,III A U 05/1985,Primary,Non-Hub,N,100LLA,AFRT  AMB  CHTR  INSTR  RNTL  SALES  SURV,26,12565	,17/35	,ASPH-G,5001,150 
01647.*A,HHR,JACK NORTHROP FIELD/HAWTHORNE MUNI,HAWTHORNE,CA,AWP,LAX,PU,33-55-22.2230N,118-20-06.6740W,PU,,Reliever,,Y,100LLA,AVNCS  INSTR  RNTL  SALES,106,80210	,07/25	,ASPH-G,4956,100 
02017.2*A,TRM,JACQUELINE COCHRAN RGNL,PALM SPRINGS,CA,AWP,LAX,PU,33-37-36.0000N,116-09-34.8000W,PU,,General Aviation,,N,100LLA,AMB,42,76500	,12/30	,ASPH-G,4995,100 
02017.2*A,TRM,JACQUELINE COCHRAN RGNL,PALM SPRINGS,CA,AWP,LAX,PU,33-37-36.0000N,116-09-34.8000W,PU,,General Aviation,,N,100LLA,AMB,42,76500	,17/35	,ASPH-G,8500,150 
01704.*A,L78,JACUMBA,JACUMBA,CA,AWP,LAX,PU,32-36-57.1000N,116-09-55.3000W,PU,,NON-NPIAS,,N,,,0,656	,07/25	,GRVL-G,2508,100 
02052.02*A,59CN,JAMES BROTHERS,PLEASANT GROVE,CA,AWP,SFO,PR,38-50-05.6360N,121-31-46.8480W,PR,,NON-NPIAS,,N,,,3,0	,16/34	,TURF,2500,75 
01817.2*H,58CA,JAY STEPHEN HOOPER MEMORIAL,LOS ANGELES,CA,AWP,LAX,PR,34-03-16.0420N,118-13-45.2620W,PU,,NON-NPIAS,,N,,,0,0	,H1	,CONC,600,210 
01401.1*A,0CL3,JOHN NICHOL'S FIELD,CHULA VISTA,CA,AWP,LAX,PR,32-37-59.2030N,116-53-35.0810W,PR,,NON-NPIAS,,N,,,5,0	,05/23	,DIRT,1800,50 
01401.1*A,0CL3,JOHN NICHOL'S FIELD,CHULA VISTA,CA,AWP,LAX,PR,32-37-59.2030N,116-53-35.0810W,PR,,NON-NPIAS,,N,,,5,0	,09/27	,DIRT,2400,50 
02230.*A,SNA,JOHN WAYNE AIRPORT-ORANGE COUNTY,SANTA ANA,CA,AWP,LAX,PU,33-40-32.4000N,117-52-05.6000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,438,269189	,02L/20R	,ASPH-G,5701,150 
02230.*A,SNA,JOHN WAYNE AIRPORT-ORANGE COUNTY,SANTA ANA,CA,AWP,LAX,PU,33-40-32.4000N,117-52-05.6000W,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AMB  AVNCS  CHTR  INSTR  RNTL  SALES  SURV,438,269189	,02R/20L	,ASPH-G,2887,75 
01395.3*A,4CA7,JOHNSEN,CHICO,CA,AWP,SFO,PR,39-40-14.5800N,121-53-08.9200W,PR,,NON-NPIAS,,N,,,0,0	,16/34	,TURF,2700,60 
01765.8*A,9CL1,JOHNSON RANCH,LE GRAND,CA,AWP,SFO,PR,37-11-27.7950N,120-16-34.6410W,PR,,NON-NPIAS,,N,,,1,0	,09/27	,DIRT,2200,70 
01272.4*A,5CL9,JOHNSTON FIELD,AUBERRY,CA,AWP,SFO,PR,37-08-28.8000N,119-30-28.5000W,PR,,NON-NPIAS,,N,,,1,0	,15/33	,DIRT,2000,50 
02320.5*A,CA49,JONES FARMS,STRATFORD,CA,AWP,SFO,PR,36-12-14.8240N,119-50-27.4780W,PR,,NON-NPIAS,,N,100,,1,0	,15/33	,ASPH,1900,50 
01324.5*A,CL23,JONES/AG-VIATION,BIGGS,CA,AWP,SFO,PR,39-27-34.5920N,121-41-45.9050W,PR,,NON-NPIAS,,N,,,15,0	,15/33	,ASPH,2600,30 
01507.03*A,73CL,JULIAN HINDS PUMP PLANT AIRSTRIP,DESERT CENTER,CA,AWP,LAX,PR,33-41-56.0670N,115-38-12.9580W,PR,,NON-NPIAS,,N,,,0,0	,04/22	,ASPH,2000,30 
01849.82*A,51CA,KELLY,LUCERNE VALLEY,CA,AWP,LAX,PR,34-25-24.9980N,116-37-01.0830W,PR,,NON-NPIAS,,N,,,3,0	,12/30	,DIRT,3010,100 
01899.1*A,CN37,KELSO VALLEY,MOJAVE,CA,AWP,LAX,PR,35-23-17.9684N,118-13-13.0449W,PR,,NON-NPIAS,,N,100,,1,0	,08/26	,CONC,2673,100 
01899.1*A,CN37,KELSO VALLEY,MOJAVE,CA,AWP,LAX,PR,35-23-17.9684N,118-13-13.0449W,PR,,NON-NPIAS,,N,100,,1,0	,16/34	,CONC,3436,100 
01710.1*A,L05,KERN VALLEY,KERNVILLE,CA,AWP,LAX,PU,35-43-41.6000N,118-25-11.0000W,PU,,General Aviation,,N,,INSTR  RNTL,10,11675	,17/35	,ASPH-G,3500,50 
01413.*A,CL24,KINDSVATER RANCH,CLOVIS,CA,AWP,SFO,PR,36-50-59.8210N,119-30-36.4750W,PR,,NON-NPIAS,,N,,,4,0	,02/20	,DIRT,2000,64 
01783.*A,O20,KINGDON AIRPARK,LODI,CA,AWP,SFO,PU,38-05-29.7110N,121-21-33.8150W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,27,8000	,12/30	,ASPH-F,3705,60 
02099.12*A,CA13,KINGS RIVER COMMUNITY COLLEGE,REEDLEY,CA,AWP,SFO,PR,36-36-24.8220N,119-27-48.4530W,PU,,NON-NPIAS,,N,,,1,0	,18/36	,TURF,2000,75 
01704.5*A,08CL,KISTLER RANCH,JAMESTOWN,CA,AWP,SFO,PR,37-51-34.7370N,120-33-15.7190W,PR,,NON-NPIAS,,N,,,0,0	,E/W	,DIRT,2000,50 
01559.1*A,O19,KNEELAND,EUREKA,CA,AWP,SFO,PU,40-43-08.2300N,123-55-37.9800W,PU,,General Aviation,,N,,,0,10000	,15/33	,ASPH-G,2252,50 
01709.01*C,5CA9,KONOCTI - CLEAR LAKE,KELSEYVILLE,CA,AWP,SFO,PR,38-58-39.6300N,122-43-03.9580W,PR,,NON-NPIAS,,N,,,0,0	,12/30	,WATER,3000,500 
01216.*A,0CL1,KREY FIELD,ADELANTO,CA,AWP,LAX,PR,34-34-09.9700N,117-33-20.0000W,PR,,NON-NPIAS,,N,,,2,0	,07/25	,ASPH-DIRT,3360,100 
01216.*A,0CL1,KREY FIELD,ADELANTO,CA,AWP,LAX,PR,34-34-09.9700N,117-33-20.0000W,PR,,NON-NPIAS,,N,,,2,0	,16/34	,DIRT,2040,100 
01739.02*A,2CN8,LAKE ARROWHEAD,LAKE ARROWHEAD,CA,AWP,LAX,PR,34-18-15.0000N,117-09-05.0000W,PR,,NON-NPIAS,,N,,,1,0	,09/27	,GRVL,3170,75 
01932.3*C,E20,LAKE BERRYESSA,NAPA,CA,AWP,SFO,PU,38-35-29.6630N,122-15-33.9120W,PU,,NON-NPIAS,,N,,,0,200	,13/31	,WATER,7000,2000 
01932.3*C,E20,LAKE BERRYESSA,NAPA,CA,AWP,SFO,PU,38-35-29.6630N,122-15-33.9120W,PU,,NON-NPIAS,,N,,,0,200	,14/32	,WATER,13000,2000 
01932.3*C,E20,LAKE BERRYESSA,NAPA,CA,AWP,SFO,PU,38-35-29.6630N,122-15-33.9120W,PU,,NON-NPIAS,,N,,,0,200	,15/33	,WATER,10500,1500 
01457.8*A,68CA,LAKE CALIFORNIA AIR PARK,COTTONWOOD,CA,AWP,SFO,PR,40-21-40.0000N,122-12-57.0000W,PR,,NON-NPIAS,,N,,,19,0	,14/32	,ASPH-F,3000,75 
01998.1*C,O06,LAKE OROVILLE LANDING AREA,OROVILLE,CA,AWP,SFO,PU,39-33-59.5900N,121-28-03.8850W,PU,,NON-NPIAS,,N,MOGAS,,0,25	,ALL/WAY	,WATER,9000,9000 
01247.6*A,54CL,LAKE RIVERSIDE ESTATES,ANZA,CA,AWP,LAX,PR,33-31-15.1050N,116-47-48.0760W,PR,,NON-NPIAS,,N,,,26,0	,10/28	,DIRT,3500,100 
02303.7*A,TVL,LAKE TAHOE,SOUTH LAKE TAHOE,CA,AWP,SFO,PU,38-53-38.0000N,119-59-43.2000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  SALES,27,23540	,18/36	,ASPH-E,8541,100 
01552.1*A,8CL1,LAKE WOHLFORD RESORT,ESCONDIDO,CA,AWP,LAX,PR,33-11-10.1360N,117-00-07.1050W,PR,,NON-NPIAS,,N,,,27,4500	,03/21	,TRTD-DIRT-P,1345,30 
01743.*A,1O2,LAMPSON FIELD,LAKEPORT,CA,AWP,SFO,PU,38-59-26.2000N,122-54-02.6000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,55,76500	,10/28	,ASPH-G,3600,60 
01817.14*H,4CA0,LAPD HOOPER,LOS ANGELES,CA,AWP,LAX,PR,34-02-36.0440N,118-14-49.2650W,PU,,NON-NPIAS,,N,,,0,0	,H1	,CONC,205,105 
01729.*A,CN19,LAS SERPIENTES,KNIGHTSEN,CA,AWP,SFO,PR,37-55-59.3000N,121-36-46.3000W,PR,,NON-NPIAS,,N,,,1,0	,16/34	,TURF,1900,75 
01486.9*A,17CL,LAS TRANCAS,DAVENPORT,CA,AWP,SFO,PR,37-05-16.8120N,122-16-24.8950W,PR,,NON-NPIAS,,N,,,1,0	,14/32	,GRAVEL,1300,30 
02124.4*A,CA22,LAUPPES STRIP,SACRAMENTO,CA,AWP,SFO,PR,38-45-33.6460N,121-35-06.8520W,PR,,NON-NPIAS,,N,,,2,0	,15/33	,DIRT,2000,30 
01764.1*A,O24,LEE VINING,LEE VINING,CA,AWP,SFO,PU,37-57-28.0000N,119-06-20.9000W,PU,,General Aviation,,N,,,1,2200	,16/34	,ASPH-G,4090,50 
01583.02*A,23CA,LEFKO,FORT JONES,CA,AWP,SFO,PR,41-37-43.7700N,122-45-32.6500W,PR,,NON-NPIAS,,N,,,1,0	,05/23	,TURF-DIRT,2800,60 
01767.12*A,NLC,LEMOORE NAS (REEVES FLD),LEMOORE,CA,AWP,SFO,PR,36-19-59.2564N,119-57-07.7819W,MN,,NON-NPIAS,,Y,,,0,0	,14L/32R	,CONC,13502,200 
01767.12*A,NLC,LEMOORE NAS (REEVES FLD),LEMOORE,CA,AWP,SFO,PR,36-19-59.2564N,119-57-07.7819W,MN,,NON-NPIAS,,Y,,,0,0	,14R/32L	,CONC,13501,200 
