airport,eic,type,fractions|
SAN,default,diurnal_weekday,0.00516442510031|0.000981910624894|0.000302252022638|9.47600935838e-05|3.10420996223e-05|7.35207622633e-05|0.0631216588898|0.0520461645035|0.0566289586846|0.0632948411298|0.0696650067312|0.0658174201728|0.0600926034846|0.0571370688416|0.0548383196748|0.0516132089035|0.0499843155707|0.0516932648447|0.051801095296|0.0564851847495|0.0541194499993|0.0545654759571|0.0543808571541|0.0260671947091
SAN,default,diurnal_weekend,0.00551145496143|0.00105662337197|0.000389517937973|7.61127005234e-05|0.000116407659624|7.61127005234e-05|0.0589918201233|0.0482330660434|0.0560681969797|0.0652330615662|0.0737218662834|0.0689312433681|0.0641585293235|0.0586649832328|0.0560413336736|0.0522804708242|0.0509193966501|0.0513984589417|0.0518193174034|0.0560995375034|0.0527595331157|0.0518640895802|0.051783499662|0.0238053663931
SAN,default,monthly,0.9136864178|0.9153828507|0.9755384777|0.995999696|0.9994948641|1.06953555|1.084089972|1.075709469|1.005228125|1.002147279|0.9794235132|0.9837637859
SAN,default,weekly,1.03816261184|1.00427806206|1.01306760032|1.03283358769|1.04019032229|0.878459466738|0.993008349044
SCK,default,diurnal_weekday,0.00228920259443|0.000381533765738|0.0|0.0|0.0|0.0133536818008|0.00343380389164|0.0377718428081|0.0431133155284|0.040824112934|0.0244181610072|0.0236550934758|0.0412056466997|0.0537962609691|0.101106447921|0.0789774895078|0.0919496375429|0.0805036245708|0.0675314765357|0.058374666158|0.106066386875|0.102632582984|0.024799694773|0.00381533765738
SCK,default,diurnal_weekend,0.00108108108108|0.0|0.0|0.0|0.0|0.0162162162162|0.00324324324324|0.0454054054054|0.0302702702703|0.0324324324324|0.00972972972973|0.0367567567568|0.0486486486486|0.0443243243243|0.0983783783784|0.0745945945946|0.105945945946|0.0994594594595|0.0691891891892|0.0572972972973|0.0962162162162|0.105945945946|0.0183783783784|0.00648648648649
SCK,default,monthly,0.6386997|0.709430407|0.8782120875|0.886861146|0.9114776969|0.9143607164|0.9247839407|1.137683841|1.271855132|1.257440034|1.264980239|1.204215059
SCK,default,weekly,1.34630569656|0.511280315849|0.805414551607|1.15087422448|1.36012408347|0.615905245347|1.21009588268
BUR,default,diurnal_weekday,0.00147639102057|0.00029740250774|9.55936632023e-05|3.18645544008e-05|0.0|0.0|0.0233036107851|0.0787797999968|0.0607922590376|0.0651895675449|0.065194878304|0.0551681651859|0.0572818472944|0.0639415391642|0.0567189068334|0.0578129232011|0.06607115355|0.0573561979214|0.0528261204374|0.0580837719135|0.0754340217847|0.076650185611|0.0227566026012|0.00473719708758
BUR,default,diurnal_weekend,0.00128215802181|0.000432936474898|9.99084172842e-05|1.66514028807e-05|1.66514028807e-05|0.0|0.0257930230622|0.0581633502623|0.0594788110898|0.0682874032137|0.068104237782|0.0606111064857|0.0651236366664|0.0679210723503|0.061543585047|0.0591457830322|0.0659895096162|0.0584963783199|0.0579801848306|0.0563316959454|0.069086670552|0.0715843809841|0.0206144367663|0.00389642827408
BUR,default,monthly,0.9350442554|0.9151483505|0.9588201866|0.9994116965|0.9859655611|1.025009975|1.036412297|1.052737488|1.024323431|1.042012217|1.021969566|1.003144976
BUR,default,weekly,1.07027122793|1.0512458124|1.05567098312|1.0584613774|1.07165233217|0.734832012627|0.957866254349
