/MONTHLY/
   44 113 100 104 103 104  40  71  97  79  61  78  49  999
   45  79  69  74  66  77  75  85  83  85  84  99 124 1000
   46 197 175  39  66  71  32  59  74  84  99  50  53  999
   47  70  67  64  70 104 110  91  91  75  93  92  73 1000
   48  54  54  54 108 108 108 118 118 118  54  54  54 1002
   49 500   0   0   0   0   0   0   0   0   0   0 500 1000
   50 200 200  30  20  20  20  20  20  20 100 150 200 1000
   51  90  80  80  80  60 110  60  70  80 100 100  90 1000
   52  69  50  50  69  69  79  69  89 119  99 109 129 1000
   53  60  60  60  60  60  60  60  60 130 130 130 130 1000
   54   0 164 349 155 195 102   0  21  14   0   0   0 1000
   55 109  95  69  65  96 105  68  77  76  87  93  61 1001
   56 101  89  74  67  98 106  71  79  78  89  87  61 1000
   57  62  98  91  92  68  81  76 100  89  74  92  78 1001
   58  62  97  91  92  68  81  76  99  89  74  92  78  999
   59  68  70  89  73 105 101  87  94  75  94  77  67 1000
   60   0   0 111 111 111 111 111 111 111 111 111   0  999
   61 105  75  74  67  55  68  57  63  84 110 130 112 1000
   62  85  86  94  87  86  82  75  67  74  89  88  88 1001
   63  85  87  92  85  80  83  75  86  84  78  83  81  999
   64  88  72 100  72  84  92  91  85  71  79  84  80  998
   65 108 109   0 224 173  58   0   0 100  77  42 108  999
   66  80  80  80  80  80  95  85  80  85  85  90  80 1000
   67  90  70  90 110  90  90  70  70  70  80  80  90 1000
   68  94  82  74  82 103  88  89  73  86 115  62  51  999
   69  85  77  78  78  94  87  96  96  83  92  70  64 1000
   70  73  93  73  57  66  83  86  99  89 101 120  60 1000
   71   0   0   0   0   0   0 455 455  91   0   0   0 1001
   72 123 135 148 108  83  60  65  41  13  30 114  80 1000
   73 115 101 104  15  98  80  89  63  92  96  65  80  998
   74 103  75 107  88  28  72  77  79  70  83  76 142 1000
   75  59  95  73 112  21  76  30  64 120 163  40 147 1000
   76  84  64  98  77 111  96 108  85 127  65  68  17 1000
   77  85  86 104  68  79  50  23  68  95  88  86 168 1000
   78  90  80  90 100  80 110  70  70  70 100  70  70 1000
   79 110  90 250 130  40 110  40  80  20  90  20  20 1000
   80  81  81  91  91  91  83  83  83  78  78  78  81  999
   81  77  77  87  87  87  87  87  87  83  83  83  77 1002
   82  70  70  87  87  87  90  90  90  86  86  86  70  999
   83  82  82  86  86  86  86  86  86  79  79  79  82  999
   84   1   0   1   0   1   1 154   0   0   0   0 842 1000
   85  82  69  85 119  96  85  86  90  76  90  52  69  999
   86  95  77  73  77 117  93  88  96  77  93  60  54 1000
   87   0   0   0   0   0   0   0   0   01000   0   0 1000
   88 234 234  33  33  33  33  33  33  33  33  33 234  999
   89  42  52   4  50  72 141  92 142 125 164  92  25 1001
   90   0   0   0   0 250 250 250 250   0   0   0   0 1000
   91  73  73  93  93  93  83  83  83  83  83  83  73  996
   92 108 108  41  41  41  66  66  66 117 117 117 108  996
   93  90  90  72  72  72  93  93  93  79  79  79  90 1002
   94   0   0 100 100 100 131 131 131 102 102 102   0  999
   95  86  86  95  95  95  79  79  79  74  74  74  86 1002
   96  63  63  94  94  94  92  92  92  84  84  84  63  999
   97  90  90  65  65  65  87  87  87  92  92  92  90 1002
   98  86  86  82  82  82  81  81  81  84  84  84  86  999
   99   0   0   0 200 200 200 200 200   0   0   0   0 1000
  100  71  82 114  84  88 106  78  82  88  67  60  81 1001
  101 130 102  50   1 124 130  71  99 145 115  34   0 1001
  102  96 218 210 174   0   0   0 136   0 166   0   0 1000
  103 120 126  74   0  57  60  98  54 158 160  92   0  999
  104  71  71 123   0 219 237  68 138  72   0   0   0  999
  105 101  67 126   0  85  68 151 142  66 127  68   0 1001
  106  92 210  31   0 329 198   0   0 141   0   0   0 1001
  107  33  33  67  67  67 100 100 100 133 133 133  33  999
  108   0   0   0   0   0 167 167 167 167 167 167   0 1002
  109 137 137  88  88  88  62  62  62  46  46  46 137  999
  110  83  83  93  93  93  83  83  83  73  73  73  83  996
  111  16  16  16  78  78 156 156 156 156  78  78  16 1000
  112 110   0 400   0   0   0   0   0   0   0 170 320 1000
  113 216  81  68 118  43  29 100  76  24  97  38 109  999
  114 114 110  47 149 125 148  29  58  75  30  26  88  999
  115  42  42  42  83 125 125 125 125 125  83  42  42 1001
  116  53  53  53 105 105 105 105 105 105 105  53  53 1000
  117  15  15  15  77  77 154 154 154 154  77  77  31 1000
  118  82  82  88  88  88  75  75  75  88  88  88  82  999
  119 134 134  83  83  83  33  33  33  83  83  83 134  999
  120   0   0   0   0   0   0   0   0   0 700 200 100 1000
  121   9  12   0   0   0   8  63  33 102  13  37 723 1000
  122  22 145 285 101   2  11  58   2   3   0  20 351 1000
  123 114  54  18  78 119  99  80 112 103 117 106   0 1000
  124  25 150 257 103   2  13  62   2   3   0  24 359 1000
  125 100 112  84 110 126  82  72  68  56  70  80  40 1000
  126   0   0   0 183 182 114 110 106 111 134  60   0 1000
  127  63  63  90  90  90  90  90  90  90  90  90  63  999
  128  67  67  67  67  67 100 100 100 100 100 100  67 1002
  129   0   0   0 167 167 167 167 167 167   0   0   0 1002
  130 167 167   0   0   0 167 167 167   0   0   0 167 1002
  131  67  67 100 100 100  67  67  67 100 100 100  67 1002
  132  67  67  90  90  90  90  90  90  87  87  87  67 1002
  133  50  50  83  83  83 100 100 100 100 100 100  50  999
  134  40  40  83  83  83 103 103 103 106 106 106  40  996
  135  30  30 110 110 110 110 110 110  83  83  83  30  999
  136   0   0   0   0   0 276 276 276  57  57  57   0  999
  137 130  90  30 110 150 140 150 150  50   0   0   0 1000
  138  92  82  20  71  92  92  92  92  92  92  92  92 1001
